X,Y,fid,name,art,Küche,icon_url
13.446032513779,52.5183726763792,"1",,Spiel,,./0.png
13.4479458317618,52.5173168684276,"2",,Spiel,,./0.png
13.4549959925899,52.5149104715938,"3",,Spiel,,./0.png
13.4550762093376,52.5172843259987,"4",,Spiel,,./0.png
13.4518437715033,52.5151455124038,"5",,Spiel,,./0.png
13.4492946615199,52.5152539923536,"6",Pinguin Spielplatz,Spiel,,./0.png
13.4452927371055,52.5151274323861,"7",,Spiel,,./0.png
13.435253759677,52.5188192176556,"8",,Spiel,,./0.png
13.4344515921997,52.5168992387592,"9",,Spiel,,./0.png
13.431611325132,52.5169860192768,"10",,Spiel,,./0.png
13.4276123717083,52.5209921998942,"11",,Spiel,,./0.png
13.4264833952588,52.5212380546771,"12",,Spiel,,./0.png
13.4591680062193,52.5158067839382,"13",Palabra Bar,Bar,,./0.png
13.4590060872286,52.5150447162103,"14",12 Grad Aetherloge,Bar,,./0.png
13.4523510681579,52.5157037292887,"15",Abgedreht,Bar,,./0.png
13.4473248947146,52.5170470367256,"16",Maza Lounge,Bar,,./0.png
13.441430449252,52.5177485053094,"17",Sommergarten James June,Bar,,./0.png
13.4423484853649,52.5166673712231,"18",CSA,Bar,,./0.png
13.4322560301045,52.5184897357154,"19",Country Cheers,,,./0.png
13.4269795506984,52.5192526476105,"20",Place One,Bar,,./0.png
13.4585433554338,52.5158727749464,"21",Ngon Heritage,Resto,,./0.png
13.4579521282931,52.5159279180417,"22",Allermunde Pizzamanufaktur,Resto,italienisch,./0.png
13.4564027566657,52.5160843070993,"23",Sole,Resto,,./0.png
13.4549751956553,52.516235271731,"24",Lang Xua,Resto,,./0.png
13.4602680155099,52.5149380437538,"25",Aashish,Resto,indisch,./0.png
13.4519522126622,52.5165313236196,"26",Izakaya Yancha,Resto,japanisch,./0.png
13.447797282229,52.5200101228545,"27",Rembrandt Burger,Resto,Burger,./0.png
13.4488237595008,52.5168626281769,"28",Kos House,Resto,griechisch,./0.png
13.4483959368463,52.5169078264222,"29",Prager Hopfenstube,Resto,böhmisch,./0.png
13.4469252964713,52.5170786753693,"30",Acapulco,Resto,mexikanisch,./0.png
13.4462152297044,52.5171663594916,"31",Waterlily,Resto,asiatisch,./0.png
13.4404455658493,52.5176942684472,"32",Block House,Resto,Steakhaus,./0.png
13.4480661568834,52.5134165770562,"33",Jäger und Lustig,Resto,,./0.png
13.4490941196506,52.512892232893,"34",Seven Spices,Resto,indisch,./0.png
13.4330893929836,52.5193050747187,"35",Goldener Karpfen,Resto,asiatisch,./0.png
13.4295628270743,52.5190375150286,"36",Trattoria Vesuvo,Resto,italienisch,./0.png
13.4276138572036,52.5193665409038,"37",Ristorante a Mano,resto,italienisch,./0.png
13.4289240640831,52.5177503132036,"38",China Restaurant Hua Ting,resto,chinesisch,./0.png
13.4301391992617,52.5179148312691,"39",Eiscafé Il Viale,cafe,,./0.png
13.4369795802964,52.5171824047635,"40",Café Sibylle,cafe,,./0.png
13.4413740004295,52.5163663483857,"41",Alpenwirt,resto,deutsch,./0.png
13.4435487655901,52.5174022921889,"42",Saaldeck,cafe,,./0.png
13.4455616117599,52.5163351612171,"43",,,,./0.png
13.4464469669756,52.516271882836,"44",,,,./0.png
13.4513193916523,52.5158099478928,"45",,,,./0.png
13.4547805957672,52.5162524473149,"46",,cafe,,./0.png
13.4570236937129,52.5160282602177,"47",Café Tasso,cafe,,./0.png
13.4607270335664,52.515695593385,"48",Mom#s Creations,resto,,./0.png
13.4541878831312,52.5150501402265,"49",Brew Dog,Pub,,./0.png
13.4477556883598,52.513454546563,"50",Jäger und Lustig ,Pub,,./0.png
13.4452957080961,52.5158809108172,"51",Gaststätte Weberwiese,Pub,,./0.png
13.4445900978152,52.5103671569271,"52",Café Nirgendwo,cafe,,./0.png
13.457518920718,52.5159748687167,"53",Commerzbank,Bank,,./0.png
13.444780798278,52.5172033653025,"54",Wasserspender,wasser,,./0.png
